Month	 Dates	Country1	TotCases1	DNCases1	Country2	TotCases2	DNCases2	Country3	TotCases3	DNCases3	Country4	TotCases4	DNCases4	Country5	TotCases5	DNCases5	Country6	TotCases6	DNCases6
F-20	2/15/2020	Nigeria	0	0	China	68500	2008	Russia	2	0	USA	15	0	Brazil	0	0	Australia	15	0
F-20	2/16/2020	Nigeria	0	0	China	70548	2048	Russia	2	0	USA	15	0	Brazil	0	0	Australia	15	0
F-20	2/17/2020	Nigeria	0	0	China	72436	1888	Russia	2	0	USA	15	0	Brazil	0	0	Australia	15	0
F-20	2/18/2020	Nigeria	0	0	China	74185	1749	Russia	2	0	USA	15	0	Brazil	0	0	Australia	15	0
F-20	2/19/2020	Nigeria	0	0	China	74576	391	Russia	2	0	USA	15	0	Brazil	0	0	Australia	15	0
F-20	2/20/2020	Nigeria	0	0	China	75465	889	Russia	2	0	USA	15	0	Brazil	0	0	Australia	17	2
F-20	2/21/2020	Nigeria	0	0	China	76288	823	Russia	2	0	USA	35	20	Brazil	0	0	Australia	19	2
F-20	2/22/2020	Nigeria	0	0	China	76936	648	Russia	2	0	USA	35	0	Brazil	0	0	Australia	21	2
F-20	2/23/2020	Nigeria	0	0	China	77150	214	Russia	2	0	USA	35	0	Brazil	0	0	Australia	22	1
F-20	2/24/2020	Nigeria	0	0	China	77658	508	Russia	2	0	USA	53	18	Brazil	0	0	Australia	22	0
F-20	2/25/2020	Nigeria	0	0	China	78064	406	Russia	2	0	USA	57	4	Brazil	1	0	Australia	22	0
F-20	2/26/2020	Nigeria	0	0	China	78497	433	Russia	2	0	USA	60	3	Brazil	1	0	Australia	23	1
F-20	2/27/2020	Nigeria	0	0	China	78824	327	Russia	2	0	USA	60	0	Brazil	1	0	Australia	23	0
F-20	2/28/2020	Nigeria	1	1	China	79251	427	Russia	2	0	USA	63	3	Brazil	1	0	Australia	25	2
F-20	2/29/2020	Nigeria	1	0	China	79824	573	Russia	2	0	USA	68	5	Brazil	2	1	Australia	25	0
M-20	3/1/2020	Nigeria	1	0	China	80026	202	Russia	2	0	USA	75	7	Brazil	2	0	Australia	29	4
M-20	3/2/2020	Nigeria	1	0	China	80151	125	Russia	3	1	USA	100	25	Brazil	2	0	Australia	33	4
M-20	3/3/2020	Nigeria	1	0	China	80270	119	Russia	3	0	USA	124	24	Brazil	2	0	Australia	39	6
M-20	3/4/2020	Nigeria	1	0	China	80409	139	Russia	3	0	USA	158	34	Brazil	3	1	Australia	53	14
M-20	3/5/2020	Nigeria	1	0	China	80552	143	Russia	7	4	USA	221	63	Brazil	8	5	Australia	60	7
M-20	3/6/2020	Nigeria	1	0	China	80651	99	Russia	13	6	USA	319	98	Brazil	13	5	Australia	63	3
M-20	3/7/2020	Nigeria	1	0	China	80695	44	Russia	14	1	USA	435	116	Brazil	19	6	Australia	74	11
M-20	3/8/2020	Nigeria	1	0	China	80735	40	Russia	17	3	USA	541	106	Brazil	25	6	Australia	83	9
M-20	3/9/2020	Nigeria	2	1	China	80754	19	Russia	20	3	USA	704	163	Brazil	25	0	Australia	93	10
M-20	3/10/2020	Nigeria	2	0	China	80778	24	Russia	20	0	USA	994	290	Brazil	34	9	Australia	116	23
M-20	3/11/2020	Nigeria	2	0	China	80793	15	Russia	28	8	USA	1301	307	Brazil	52	18	Australia	128	12
M-20	3/12/2020	Nigeria	2	0	China	80813	20	Russia	34	6	USA	2512	1211	Brazil	77	25	Australia	156	28
M-20	3/13/2020	Nigeria	2	0	China	80824	11	Russia	45	11	USA	3496	984	Brazil	151	74	Australia	199	43
M-20	3/14/2020	Nigeria	2	0	China	80844	20	Russia	59	14	USA	4299	803	Brazil	151	0	Australia	248	49
M-20	3/15/2020	Nigeria	2	0	China	80860	16	Russia	63	4	USA	5342	1043	Brazil	200	49	Australia	300	52
M-20	3/16/2020	Nigeria	2	0	China	80881	21	Russia	93	30	USA	6660	1318	Brazil	234	34	Australia	401	101
M-20	3/17/2020	Nigeria	3	1	China	80894	13	Russia	114	21	USA	9085	2425	Brazil	346	112	Australia	455	54
M-20	3/18/2020	Nigeria	8	5	China	80928	34	Russia	147	33	USA	12819	3734	Brazil	529	183	Australia	596	141
M-20	3/19/2020	Nigeria	12	4	China	80967	39	Russia	199	52	USA	18176	5357	Brazil	640	111	Australia	756	160
M-20	3/20/2020	Nigeria	12	0	China	81008	41	Russia	253	54	USA	24746	6570	Brazil	970	330	Australia	928	172
M-20	3/21/2020	Nigeria	22	10	China	81054	46	Russia	306	53	USA	30744	5998	Brazil	1178	208	Australia	1072	144
M-20	3/22/2020	Nigeria	30	8	China	81093	39	Russia	367	61	USA	40814	10070	Brazil	1546	368	Australia	1609	537
M-20	3/23/2020	Nigeria	40	10	China	81171	78	Russia	438	71	USA	52326	11512	Brazil	1924	378	Australia	1887	278
M-20	3/24/2020	Nigeria	44	4	China	81218	47	Russia	495	57	USA	65350	13024	Brazil	2247	323	Australia	2317	430
M-20	3/25/2020	Nigeria	51	7	China	81285	67	Russia	658	163	USA	80095	14745	Brazil	2554	307	Australia	2676	359
M-20	3/26/2020	Nigeria	65	14	China	81340	55	Russia	840	182	USA	99085	18990	Brazil	2986	432	Australia	3050	374
M-20	3/27/2020	Nigeria	70	5	China	81394	54	Russia	1036	196	USA	119387	20302	Brazil	3419	433	Australia	3378	328
M-20	3/28/2020	Nigeria	97	27	China	81439	45	Russia	1264	228	USA	139696	20309	Brazil	3907	488	Australia	3635	257
M-20	3/29/2020	Nigeria	111	14	China	81439	0	Russia	1534	270	USA	160616	20920	Brazil	4259	352	Australia	4163	528
M-20	3/30/2020	Nigeria	131	20	China	81518	79	Russia	1836	302	USA	184716	24100	Brazil	4633	374	Australia	4460	297
M-20	3/31/2020	Nigeria	135	4	China	81554	36	Russia	2337	501	USA	211264	26548	Brazil	5721	1088	Australia	4763	303
A-20	4/1/2020	Nigeria	174	39	China	81589	35	Russia	2777	440	USA	239039	27775	Brazil	6885	1164	Australia	5048	285
A-20	4/2/2020	Nigeria	184	10	China	81620	31	Russia	3548	771	USA	268332	29293	Brazil	8050	1165	Australia	5314	266
A-20	4/3/2020	Nigeria	210	26	China	81639	19	Russia	4149	601	USA	301975	33643	Brazil	9201	1151	Australia	5454	140
A-20	4/4/2020	Nigeria	214	4	China	81669	30	Russia	4731	582	USA	335933	33958	Brazil	10368	1167	Australia	5550	96
A-20	4/5/2020	Nigeria	232	18	China	81708	39	Russia	5389	658	USA	362294	26361	Brazil	11263	895	Australia	5750	200
A-20	4/6/2020	Nigeria	238	6	China	81740	32	Russia	6343	954	USA	393523	31229	Brazil	12193	930	Australia	5895	145
A-20	4/7/2020	Nigeria	254	16	China	81802	62	Russia	7497	1154	USA	428445	34922	Brazil	14046	1853	Australia	5988	93
A-20	4/8/2020	Nigeria	276	22	China	81865	63	Russia	8672	1175	USA	461712	33267	Brazil	16203	2157	Australia	6052	64
A-20	4/9/2020	Nigeria	288	12	China	81907	42	Russia	10131	1459	USA	495605	33893	Brazil	18162	1959	Australia	6152	100
A-20 	4/10/2020	Nigeria	305	17	China	81953	46	Russia	11917	1786	USA	530098	34493	Brazil	19808	1646	Australia	6238	86
A-20 	4/11/2020	Nigeria	318	13	China	82052	99	Russia	13584	1667	USA	560242	30144	Brazil	20982	1174	Australia	6303	65
A-20 	4/12/2020	Nigeria	323	5	China	82160	108	Russia	15770	2186	USA	586316	26074	Brazil	22214	1232	Australia	6313	10
A-20 	4/13/2020	Nigeria	343	20	China	82249	89	Russia	18328	2558	USA	613697	27381	Brazil	23454	1240	Australia	6359	46
A-20 	4/14/2020	Nigeria	373	30	China	82295	46	Russia	21102	2774	USA	643574	29877	Brazil	25288	1834	Australia	6400	41
A-20 	4/15/2020	Nigeria	407	34	China	82341	46	Russia	24490	3388	USA	675681	32107	Brazil	28640	3352	Australia	6447	47
A-20 	4/16/2020	Nigeria	442	35	China	82367	26	Russia	27938	3448	USA	706462	30781	Brazil	30716	2076	Australia	6468	21
A-20 	4/17/2020	Nigeria	493	51	China	82692	325	Russia	32008	4070	USA	740714	34252	Brazil	33719	3003	Australia	6533	65
